




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (7976)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
positive regulation of catabolic process (GO:0009896)	519	284	201.00	+	1.41	2.92E-06	1.73E-04
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	333	235.85	+	1.41	4.78E-07	3.24E-05
peptidyl-amino acid modification (GO:0018193)	886	484	343.13	+	1.41	9.05E-10	1.00E-07
regulation of RNA stability (GO:0043487)	253	138	97.98	+	1.41	1.44E-03	4.59E-02
neuron development (GO:0048666)	846	461	327.64	+	1.41	3.29E-09	3.31E-07
regulation of cell development (GO:0060284)	500	272	193.64	+	1.40	7.33E-06	3.97E-04
regulation of intracellular protein transport (GO:0033157)	256	139	99.14	+	1.40	1.53E-03	4.82E-02
cellular component morphogenesis (GO:0032989)	611	331	236.63	+	1.40	8.62E-07	5.54E-05
regulation of trans-synaptic signaling (GO:0099177)	432	234	167.30	+	1.40	3.87E-05	1.80E-03
negative regulation of transcription, DNA-templated (GO:0045892)	1297	702	502.30	+	1.40	3.32E-13	5.25E-11
regulation of neuron death (GO:1901214)	316	171	122.38	+	1.40	5.16E-04	1.89E-02
gland development (GO:0048732)	414	224	160.33	+	1.40	6.85E-05	3.02E-03
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	490	350.87	+	1.40	1.88E-09	1.95E-07
modulation of chemical synaptic transmission (GO:0050804)	431	233	166.92	+	1.40	4.54E-05	2.08E-03
negative regulation of RNA metabolic process (GO:0051253)	1408	761	545.29	+	1.40	3.34E-14	5.73E-12
autophagy (GO:0006914)	309	167	119.67	+	1.40	6.54E-04	2.31E-02
process utilizing autophagic mechanism (GO:0061919)	309	167	119.67	+	1.40	6.54E-04	2.31E-02
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	702	503.07	+	1.40	4.14E-13	6.48E-11
embryonic organ development (GO:0048568)	435	235	168.47	+	1.39	4.87E-05	2.22E-03
regulation of cellular protein localization (GO:1903827)	561	303	217.26	+	1.39	3.63E-06	2.11E-04
mitotic cell cycle (GO:0000278)	750	405	290.46	+	1.39	6.58E-08	5.47E-06
embryo development (GO:0009790)	991	535	383.79	+	1.39	3.86E-10	4.63E-08
synapse organization (GO:0050808)	289	156	111.92	+	1.39	9.40E-04	3.14E-02
regulation of binding (GO:0051098)	365	197	141.36	+	1.39	2.06E-04	8.18E-03
morphogenesis of an epithelium (GO:0002009)	441	238	170.79	+	1.39	4.53E-05	2.08E-03
negative regulation of RNA biosynthetic process (GO:1902679)	1301	702	503.85	+	1.39	5.14E-13	7.74E-11
protein catabolic process (GO:0030163)	697	376	269.93	+	1.39	2.22E-07	1.61E-05
positive regulation of cellular protein localization (GO:1903829)	306	165	118.51	+	1.39	7.41E-04	2.57E-02
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	830	596.41	+	1.39	3.19E-15	6.46E-13
positive regulation of RNA metabolic process (GO:0051254)	1773	955	686.64	+	1.39	1.88E-17	5.32E-15
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	823	591.76	+	1.39	4.54E-15	8.55E-13
DNA repair (GO:0006281)	531	286	205.64	+	1.39	7.46E-06	4.02E-04
regulation of cellular response to growth factor stimulus (GO:0090287)	299	161	115.80	+	1.39	9.39E-04	3.14E-02
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	876	630.49	+	1.39	6.17E-16	1.57E-13
positive regulation of transcription, DNA-templated (GO:0045893)	1628	876	630.49	+	1.39	6.17E-16	1.55E-13
regulation of autophagy (GO:0010506)	331	178	128.19	+	1.39	4.72E-04	1.74E-02
positive regulation of RNA biosynthetic process (GO:1902680)	1629	876	630.88	+	1.39	7.51E-16	1.83E-13
regulation of DNA metabolic process (GO:0051052)	372	200	144.07	+	1.39	1.96E-04	7.82E-03
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	832	600.67	+	1.39	6.63E-15	1.22E-12
regulation of cellular catabolic process (GO:0031329)	899	482	348.16	+	1.38	6.92E-09	6.67E-07
regulation of catabolic process (GO:0009894)	1066	571	412.84	+	1.38	2.31E-10	2.80E-08
regulation of cell cycle process (GO:0010564)	792	424	306.72	+	1.38	6.62E-08	5.48E-06
negative regulation of cellular biosynthetic process (GO:0031327)	1610	861	623.52	+	1.38	3.42E-15	6.75E-13
cellular response to DNA damage stimulus (GO:0006974)	793	424	307.11	+	1.38	8.01E-08	6.46E-06
regulation of cell cycle (GO:0051726)	1164	621	450.79	+	1.38	5.69E-11	7.31E-09
chordate embryonic development (GO:0043009)	613	327	237.40	+	1.38	3.05E-06	1.80E-04
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	1035	751.71	+	1.38	5.09E-18	1.49E-15
protein polyubiquitination (GO:0000209)	325	173	125.87	+	1.37	8.61E-04	2.91E-02
regulation of cell morphogenesis (GO:0022604)	310	165	120.06	+	1.37	1.13E-03	3.67E-02
nervous system development (GO:0007399)	2218	1180	858.98	+	1.37	2.31E-20	8.30E-18
negative regulation of biosynthetic process (GO:0009890)	1643	874	636.30	+	1.37	5.72E-15	1.06E-12
cell junction organization (GO:0034330)	502	267	194.41	+	1.37	3.12E-05	1.50E-03
chromosome organization (GO:0051276)	1064	564	412.06	+	1.37	1.06E-09	1.16E-07
positive regulation of cellular catabolic process (GO:0031331)	450	238	174.28	+	1.37	1.06E-04	4.52E-03
protein phosphorylation (GO:0006468)	685	362	265.29	+	1.36	1.73E-06	1.05E-04
tube development (GO:0035295)	856	452	331.51	+	1.36	7.76E-08	6.29E-06
embryo development ending in birth or egg hatching (GO:0009792)	633	334	245.15	+	1.36	4.95E-06	2.79E-04
in utero embryonic development (GO:0001701)	366	193	141.74	+	1.36	5.94E-04	2.13E-02
negative regulation of signal transduction (GO:0009968)	1305	688	505.40	+	1.36	2.63E-11	3.44E-09
negative regulation of organelle organization (GO:0010639)	334	176	129.35	+	1.36	1.00E-03	3.29E-02
negative regulation of protein phosphorylation (GO:0001933)	353	186	136.71	+	1.36	8.05E-04	2.78E-02
regulation of protein localization (GO:0032880)	894	471	346.23	+	1.36	5.01E-08	4.26E-06
response to decreased oxygen levels (GO:0036293)	361	190	139.81	+	1.36	6.54E-04	2.32E-02
transcription by RNA polymerase II (GO:0006366)	382	201	147.94	+	1.36	4.61E-04	1.71E-02
cell projection organization (GO:0030030)	1221	641	472.87	+	1.36	2.25E-10	2.75E-08
negative regulation of cell communication (GO:0010648)	1401	735	542.58	+	1.35	9.92E-12	1.35E-09
negative regulation of signaling (GO:0023057)	1405	737	544.13	+	1.35	8.88E-12	1.24E-09
tube morphogenesis (GO:0035239)	654	343	253.28	+	1.35	5.73E-06	3.18E-04
nucleic acid-templated transcription (GO:0097659)	531	278	205.64	+	1.35	4.87E-05	2.21E-03
plasma membrane bounded cell projection organization (GO:0120036)	1175	615	455.05	+	1.35	7.30E-10	8.19E-08
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	975	721.50	+	1.35	2.64E-15	5.57E-13
regulation of cellular component organization (GO:0051128)	2390	1250	925.60	+	1.35	1.14E-19	4.00E-17
transcription, DNA-templated (GO:0006351)	530	277	205.26	+	1.35	5.65E-05	2.53E-03
skeletal system development (GO:0001501)	479	250	185.51	+	1.35	1.38E-04	5.77E-03
regulation of cellular response to stress (GO:0080135)	692	361	268.00	+	1.35	4.37E-06	2.50E-04
response to hypoxia (GO:0001666)	347	181	134.39	+	1.35	1.22E-03	3.94E-02
negative regulation of protein modification process (GO:0031400)	558	291	216.10	+	1.35	3.77E-05	1.77E-03
cellular macromolecule localization (GO:0070727)	1480	770	573.17	+	1.34	9.27E-12	1.29E-09
cellular macromolecule catabolic process (GO:0044265)	925	481	358.23	+	1.34	1.27E-07	9.65E-06
phosphorylation (GO:0016310)	877	456	339.64	+	1.34	2.80E-07	1.96E-05
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1622	1209.47	+	1.34	3.54E-25	2.80E-22
RNA biosynthetic process (GO:0032774)	543	282	210.29	+	1.34	6.78E-05	3.00E-03
regulation of intracellular transport (GO:0032386)	364	189	140.97	+	1.34	1.12E-03	3.64E-02
regulation of mRNA metabolic process (GO:1903311)	376	195	145.62	+	1.34	9.63E-04	3.21E-02
cellular protein localization (GO:0034613)	1470	762	569.30	+	1.34	2.16E-11	2.84E-09
response to oxygen levels (GO:0070482)	388	201	150.26	+	1.34	9.65E-04	3.20E-02
tissue morphogenesis (GO:0048729)	545	282	211.07	+	1.34	8.17E-05	3.59E-03
negative regulation of phosphorylation (GO:0042326)	395	204	152.97	+	1.33	9.05E-04	3.03E-02
protein localization (GO:0008104)	2063	1065	798.96	+	1.33	1.81E-15	3.91E-13
enzyme linked receptor protein signaling pathway (GO:0007167)	723	373	280.00	+	1.33	6.63E-06	3.62E-04
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	522	269	202.16	+	1.33	1.54E-04	6.36E-03
cellular response to growth factor stimulus (GO:0071363)	497	256	192.48	+	1.33	2.09E-04	8.28E-03
regulation of anatomical structure morphogenesis (GO:0022603)	967	498	374.50	+	1.33	1.88E-07	1.38E-05
positive regulation of cellular biosynthetic process (GO:0031328)	1969	1014	762.55	+	1.33	1.74E-14	3.03E-12
positive regulation of cellular component organization (GO:0051130)	1161	597	449.63	+	1.33	1.08E-08	1.00E-06
response to growth factor (GO:0070848)	526	270	203.71	+	1.33	1.63E-04	6.64E-03
regulation of organelle organization (GO:0033043)	1208	620	467.83	+	1.33	6.55E-09	6.43E-07
negative regulation of intracellular signal transduction (GO:1902532)	507	260	196.35	+	1.32	2.37E-04	9.33E-03
regulation of protein transport (GO:0051223)	556	285	215.33	+	1.32	1.28E-04	5.43E-03
negative regulation of cell differentiation (GO:0045596)	644	330	249.41	+	1.32	3.36E-05	1.60E-03
cellular response to stress (GO:0033554)	1741	892	674.25	+	1.32	2.03E-12	3.03E-10
regulation of cellular component biogenesis (GO:0044087)	974	499	377.21	+	1.32	2.79E-07	1.96E-05
positive regulation of transferase activity (GO:0051347)	693	355	268.38	+	1.32	1.81E-05	9.22E-04
intracellular protein transport (GO:0006886)	781	400	302.46	+	1.32	4.71E-06	2.69E-04
heart development (GO:0007507)	535	274	207.19	+	1.32	1.82E-04	7.32E-03
regulation of transferase activity (GO:0051338)	1033	529	400.06	+	1.32	1.24E-07	9.48E-06
positive regulation of cellular metabolic process (GO:0031325)	3314	1697	1283.44	+	1.32	2.51E-24	1.47E-21
positive regulation of biosynthetic process (GO:0009891)	2004	1026	776.11	+	1.32	3.67E-14	6.24E-12
nucleobase-containing compound biosynthetic process (GO:0034654)	975	499	377.60	+	1.32	3.29E-07	2.29E-05
establishment of protein localization (GO:0045184)	1397	713	541.03	+	1.32	8.45E-10	9.41E-08
positive regulation of protein kinase activity (GO:0045860)	539	275	208.74	+	1.32	1.92E-04	7.72E-03
regulation of kinase activity (GO:0043549)	914	466	353.97	+	1.32	1.13E-06	7.08E-05
regulation of establishment of protein localization (GO:0070201)	581	296	225.01	+	1.32	1.29E-04	5.43E-03
organelle localization (GO:0051640)	609	310	235.85	+	1.31	8.55E-05	3.72E-03
regulation of protein kinase activity (GO:0045859)	802	408	310.60	+	1.31	6.08E-06	3.35E-04
animal organ morphogenesis (GO:0009887)	956	486	370.24	+	1.31	7.59E-07	4.94E-05
microtubule cytoskeleton organization (GO:0000226)	567	288	219.59	+	1.31	1.72E-04	6.94E-03
protein transport (GO:0015031)	1300	660	503.46	+	1.31	7.75E-09	7.42E-07
positive regulation of kinase activity (GO:0033674)	614	311	237.79	+	1.31	1.22E-04	5.16E-03
sensory organ development (GO:0007423)	555	281	214.94	+	1.31	2.68E-04	1.04E-02
negative regulation of developmental process (GO:0051093)	879	445	340.42	+	1.31	3.35E-06	1.97E-04
negative regulation of phosphorus metabolic process (GO:0010563)	484	245	187.44	+	1.31	6.93E-04	2.42E-02
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	1241	949.99	+	1.31	5.11E-16	1.32E-13
heterocycle biosynthetic process (GO:0018130)	1049	530	406.26	+	1.30	4.26E-07	2.93E-05
negative regulation of phosphate metabolic process (GO:0045936)	483	244	187.06	+	1.30	7.94E-04	2.75E-02
macromolecule catabolic process (GO:0009057)	1058	534	409.74	+	1.30	4.07E-07	2.82E-05
regulation of vesicle-mediated transport (GO:0060627)	530	267	205.26	+	1.30	4.86E-04	1.79E-02
anatomical structure morphogenesis (GO:0009653)	2158	1086	835.75	+	1.30	1.73E-13	2.82E-11
DNA metabolic process (GO:0006259)	777	391	300.92	+	1.30	2.28E-05	1.13E-03
regulation of cell differentiation (GO:0045595)	1586	798	614.22	+	1.30	5.37E-10	6.24E-08
regulation of cellular localization (GO:0060341)	841	423	325.70	+	1.30	9.44E-06	5.01E-04
regulation of cytoskeleton organization (GO:0051493)	526	264	203.71	+	1.30	6.20E-04	2.21E-02
regulation of developmental process (GO:0050793)	2461	1235	953.09	+	1.30	4.14E-15	7.98E-13
cell cycle process (GO:0022402)	957	480	370.63	+	1.30	2.85E-06	1.69E-04
negative regulation of cellular component organization (GO:0051129)	724	363	280.39	+	1.29	5.41E-05	2.43E-03
protein localization to organelle (GO:0033365)	742	372	287.36	+	1.29	4.28E-05	1.98E-03
microtubule-based process (GO:0007017)	806	404	312.15	+	1.29	2.03E-05	1.02E-03
aromatic compound biosynthetic process (GO:0019438)	1060	531	410.52	+	1.29	9.82E-07	6.21E-05
positive regulation of protein modification process (GO:0031401)	1079	540	417.87	+	1.29	7.82E-07	5.07E-05
positive regulation of cell differentiation (GO:0045597)	840	420	325.31	+	1.29	1.64E-05	8.46E-04
protein modification by small protein conjugation (GO:0032446)	822	411	318.34	+	1.29	2.08E-05	1.04E-03
positive regulation of protein metabolic process (GO:0051247)	1562	781	604.93	+	1.29	2.07E-09	2.12E-07
regulation of protein modification process (GO:0031399)	1654	827	640.56	+	1.29	6.02E-10	6.89E-08
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1761	1363.99	+	1.29	8.68E-22	3.61E-19
intracellular transport (GO:0046907)	1464	732	566.98	+	1.29	6.67E-09	6.47E-07
anatomical structure formation involved in morphogenesis (GO:0048646)	883	441	341.97	+	1.29	1.10E-05	5.78E-04
circulatory system development (GO:0072359)	877	438	339.64	+	1.29	1.19E-05	6.22E-04
negative regulation of cellular metabolic process (GO:0031324)	2613	1305	1011.96	+	1.29	1.64E-15	3.65E-13
regulation of transcription by RNA polymerase II (GO:0006357)	2595	1294	1004.99	+	1.29	2.93E-15	6.02E-13
protein modification by small protein conjugation or removal (GO:0070647)	1035	516	400.83	+	1.29	2.04E-06	1.23E-04
cell cycle (GO:0007049)	1316	656	509.66	+	1.29	6.98E-08	5.72E-06
vasculature development (GO:0001944)	514	256	199.06	+	1.29	1.11E-03	3.60E-02
blood vessel development (GO:0001568)	492	245	190.54	+	1.29	1.34E-03	4.32E-02
regulation of signaling (GO:0023051)	3545	1761	1372.90	+	1.28	8.35E-21	3.14E-18
positive regulation of metabolic process (GO:0009893)	3820	1897	1479.40	+	1.28	1.29E-22	6.16E-20
positive regulation of developmental process (GO:0051094)	1271	631	492.23	+	1.28	2.09E-07	1.51E-05
regulation of cell communication (GO:0010646)	3509	1742	1358.96	+	1.28	1.81E-20	6.64E-18
macromolecule localization (GO:0033036)	2496	1239	966.65	+	1.28	4.03E-14	6.77E-12
organophosphate biosynthetic process (GO:0090407)	552	274	213.78	+	1.28	8.11E-04	2.79E-02
